Id,PRJCTNO,ItemCode,Description,UOM,BOMQ,Design,VendorPlanDate,VendorAct,WONo,VendorPlan
1,7,00777-01-00,UNIT 01,NOS,1.0,11-03-2021,12-03-2021,planned,J0142,2
2,11,00776-01-00,UNIT 01,NOS,1.0,13-03-2021,13-03-2021,planned,J0141,3
3,11,00776-02-00,UNIT 02,NOS,1.0,13-03-2021,13-03-2021,planned,J0141,3
4,11,00776-01-00,UNIT 01,NOS,1.0,13-03-2021,13-03-2021,Planned,J0141,4
5,11,00776-02-00,UNIT 02,NOS,1.0,13-03-2021,13-03-2021,Planned,J0141,4
6,11,00776-01-00,UNIT 01,NOS,1.0,13-03-2021,13-03-2021,22-03-2021,J0141,5
7,11,00776-02-00,UNIT 02,NOS,1.0,13-03-2021,13-03-2021,22-03-2021,J0141,5
8,10,00773-09-00,UNIT 09,NOS,1.0,12-03-2021,13-03-2021,,J0139,6
9,9,00777-02-00,UNIT 02,NOS,1.0,12-03-2021,13-03-2021,22-03-2021,J0142,7
10,11,00776-01-00,UNIT 01,NOS,1.0,13-03-2021,31-03-2021,31-03-2021,J0141,8
11,11,00776-01-00,UNIT 01,NOS,1.0,13-03-2021,30-03-2021,30-03-2021,J0141,9
