Id,SysDate,SysTime,CompId,SessionId,FinYearId,PRJCTNO,WONo,GenDate
1,,,,,,1,,
3,2021-02-15,4:11:41 PM,1,sapl0334,8,2,N0234,15/02/2021
5,2021-02-17,4:38:54 PM,1,sapl0334,8,3,N0231,17/02/2021
6,2021-02-23,10:35:46 AM,1,sapl0334,8,4,N0234,23/02/2021
7,2021-02-23,11:43:27 AM,1,sapl0334,8,5,N0234,23/02/2021
8,2021-02-25,9:19:05 AM,1,sapl0334,8,6,J0139,25/02/2021
9,2021-03-12,8:50:46 AM,1,Sapl0315,8,7,J0142,12/03/2021
10,2021-03-12,8:51:22 AM,1,Sapl0315,8,8,N0235,12/03/2021
11,2021-03-12,1:38:08 PM,1,Sapl0315,8,9,J0142,12/03/2021
12,2021-03-12,1:38:39 PM,1,Sapl0315,8,10,J0139,12/03/2021
13,2021-03-13,12:00:07 PM,1,Sapl0315,8,11,J0141,13/03/2021
