Id,PRJCTNO,ItemCode,Description,UOM,BOMQ,Design,Manf,BOP,Assemly,WONo,GenDate,Hrs
1,1,,,,,,,,,,,
4,2,00771-00-00,6 METER LENGTH STRUCTURE,NOS,1.0,50,10,16-02-2021,95,N0234,,
8,3,00760-00-00,Roof Finalization Fixture,NOS,1.0,02-02-2021,,,Select,N0231,,0.0
9,3,00760-00-00,Roof Finalization Fixture,NOS,1.0,02-02-2021,01-02-2021,,Select,N0231,,0.0
10,4,00767-00-00,GENERAL ASSEMBLY,NOS,1.0,,,,Select,P0060,,0.0
11,4,00767-00-00,GENERAL ASSEMBLY,NOS,1.0,,,,Select,P0060,,0.0
12,4,00767-00-00,GENERAL ASSEMBLY,NOS,1.0,,,,40%,P0060,,0.0
13,4,99999-02-00,Assly Cross Rail Support,NOS,6.0,19-02-2021,23-02-2021,,Select,N0234,,0.0
14,4,99999-04-00,Assly of Channel Support C-75 100L,NOS,8.0,19-02-2021,23-02-2021,,Select,N0234,,0.0
15,4,99999-05-00,Assly of Joint Coupler,NOS,2.0,19-02-2021,23-02-2021,,Select,N0234,,0.0
16,4,99999-07-00,Assly Beam Support,NOS,8.0,18-02-2021,23-02-2021,,Select,N0234,,0.0
17,4,99999-08-00,Assly of End Rubber Stopper,NOS,10.0,19-02-2021,23-02-2021,,Select,N0234,,0.0
18,4,00771-00-00,6 METER LENGTH STRUCTURE,NOS,1.0,18-02-2021,23-02-2021,,Select,N0234,,0.0
19,4,00771-01-00,UNIT 01,NOS,1.0,19-02-2021,23-02-2021,,Select,N0234,,0.0
20,4,00771-01-02,STRUCTURE,NOS,2.0,18-02-2021,23-02-2021,,Select,N0234,,0.0
21,4,00771-01-01,VERTICAL PILLAR,NOS,2.0,18-02-2021,23-02-2021,,Select,N0234,,0.0
22,4,00771-99-00,GENERAL ASSEMBLY,NOS,1.0,18-02-2021,23-02-2021,,Select,N0234,,0.0
23,4,00771-01-05,I SECTION,NOS,1.0,18-02-2021,23-02-2021,,Select,N0234,,0.0
24,4,99999-02-00,Assly Cross Rail Support,NOS,6.0,19-02-2021,23-02-2021,,Select,N0234,,0.0
25,4,99999-04-00,Assly of Channel Support C-75 100L,NOS,8.0,19-02-2021,23-02-2021,,Select,N0234,,0.0
26,4,99999-05-00,Assly of Joint Coupler,NOS,2.0,19-02-2021,23-02-2021,,Select,N0234,,0.0
27,4,99999-07-00,Assly Beam Support,NOS,8.0,18-02-2021,23-02-2021,,Select,N0234,,0.0
28,4,99999-08-00,Assly of End Rubber Stopper,NOS,10.0,19-02-2021,23-02-2021,,Select,N0234,,0.0
29,4,00771-00-00,6 METER LENGTH STRUCTURE,NOS,1.0,18-02-2021,23-02-2021,,Select,N0234,,0.0
30,4,00771-01-00,UNIT 01,NOS,1.0,19-02-2021,23-02-2021,,Select,N0234,,0.0
31,4,00771-01-02,STRUCTURE,NOS,2.0,18-02-2021,23-02-2021,,Select,N0234,,0.0
32,4,00771-01-01,VERTICAL PILLAR,NOS,2.0,18-02-2021,23-02-2021,,Select,N0234,,0.0
33,4,00771-99-00,GENERAL ASSEMBLY,NOS,1.0,18-02-2021,23-02-2021,,Select,N0234,,0.0
34,4,00771-01-05,I SECTION,NOS,1.0,18-02-2021,23-02-2021,,Select,N0234,,0.0
35,5,00771-01-02,STRUCTURE,NOS,2.0,18-02-2021,23-02-2021,,Select,N0234,,0.0
36,5,00771-01-01,VERTICAL PILLAR,NOS,2.0,18-02-2021,23-02-2021,,Select,N0234,,0.0
37,5,00771-01-05,I SECTION,NOS,1.0,20-02-2021,23-02-2021,,Select,N0234,,0.0
38,5,00771-01-02,STRUCTURE,NOS,2.0,18-02-2021,23-02-2021,,80%,N0234,,32.0
39,5,00771-01-01,VERTICAL PILLAR,NOS,2.0,18-02-2021,23-02-2021,,Select,N0234,,0.0
40,5,00771-01-05,I SECTION,NOS,1.0,20-02-2021,23-02-2021,,Select,N0234,,0.0
41,6,00773-00-00,JIG BOOM,NOS,1.0,24-02-2021,,,40%,J0139,,0.0
42,6,00773-99-00,GENERAL ASSEMBLY,NOS,1.0,24-02-2021,,,Select,J0139,,0.0
43,6,00773-02-00,UNIT 02,NOS,1.0,24-02-2021,,,Select,J0139,,0.0
44,6,00773-02-11,INSIDE HOSES GUIDE BKT,NOS,10.0,24-02-2021,,,Select,J0139,,0.0
45,6,00773-03-00,UNIT 03,NOS,1.0,,,,Select,J0139,,0.0
46,6,00773-03-03,COVER FRONT,NOS,2.0,24-02-2021,,,Select,J0139,,0.0
47,7,00777-01-00,UNIT 01,NOS,1.0,11-03-2021,,,Select,J0142,,0.0
48,8,00775-01-00,UNIT 01,NOS,1.0,11-03-2021,,,Select,N0235,,0.0
49,8,00775-05-00,UNIT 05,NOS,1.0,11-03-2021,,,Select,N0235,,0.0
50,9,00777-02-00,UNIT 02,NOS,1.0,12-03-2021,,,Select,J0142,,0.0
51,10,00773-09-00,UNIT 09,NOS,1.0,12-03-2021,,,Select,J0139,,0.0
52,11,00776-01-00,UNIT 01,NOS,1.0,13-03-2021,,,Select,J0141,,0.0
53,11,00776-02-00,UNIT 02,NOS,1.0,13-03-2021,,,Select,J0141,,0.0
