Id,Terms
1,100 % in advance
2,100 % against delivery
5,30 Days PDC
6,Within 60 Days after receipt of your bill
7,60 Days P.D.C.
8,Within 90 Days after receipt of your bill
9,45 Days P.D.C.
10,Within 30 Days after receipt of your bill
11,Against Proforma Invoice
12,15 days P.D.C.
13,100 % C.O.D.
14,"10% Advance against purchase order 80% against delivery against 60 days PDC, 10% against installation against PDC 60 Days."
16,After Submitting Document To Bank
17,After Successful Completion Of  Work
18,Within 45 Days after receipt of your bill
19,40% Advance and Balance Against Proforma Invoice
20,25% Advance and Balance Against Proforma Invoice
21,Against Work Completion of every Month.
22,90 Days P.D.C.
23,100% against delivery and documents through bank
24,10% Advance along with P.O. & Balance after Installation
25,"30% advance, 60% + Taxes against delivery, and balance 10% after installtion at our end"
26,"25% adavance, Balance against delivery"
27,10 Days P.D.C.
28,10% Advance and balance against proforma Invoice.
29,Within 120 Days after receipt of your bill
30,50% after simulation & balace 50% after prooven.
31,"50% adavance, Balance against delivery"
32,"25% Advance against P.O., Balance against delivery 20 Days PDC."
33,"20% ADVANCE ALONG WITH PURCHASE ORDER 15 DAYS PDC, 60% WITHIN 30 DAYS OF MATERIAL DELIVERY AT SAPL, BALANCE 20% AFTER SUCCESFULL INSTALLATION AT SAPL, PUNE."
34,PLEASE FIND ATTACHED ANNEXTURE
35,"20% ADVANCE ALONG WITH PO, 60% WITHIN 30 DAYS AFTER ARRIVAL OF MATERIAL AT OUR END, 20% AFTER SUCCESSFULL INSTALLATION AT SAPL."
36,"10% ADVANCE ALONG WITH PO, BALANCE WITHIN 30 DAYS"
37,2 Lakh Advance Against Booking & balance Against Delivery
38,"25% Advance with PO, 65% against delivery 30 days PDC, Balance after successfull installation"
39,"10% Advance along with PO, Balance 30 Days PDC against Delivery"
40,Within 15 days from the date of delivery
41,"50% adavance, Balance after successful trials"
42,25 Days PDC against delivery of material
43,"50% AGAINST DEL. 20 DAYS PDC, BAL AFTER SUCCESSFULL INSTA. & TRANING 45 DAYS PDC"
44,"30% Adv Against PO,Bal against Del & Installation 30days PDC"
45,As Per Remark
46,"15% advance along with PO, 20% advance on DAP against approval, 45% Payment with 100% Taxes and duties before dispatch against trails of max 8 sets ( Quality OK ), 10% after Installation, 10% Payment after 2 months of Installation"
47,15% Advance balance 30 days PDC against Delivery
48,Ten Thousand Advance and balance 30 Days PDC Against Delivery.
49,Within 45 days from the date of delivery
50,30% Advance and Balance 70% Against Delivery
51,60 Days after receipt of your bill
52,45 days after receipt of your bill
53,30 Days after receipt of your bill
54,90 Days after receipt of your bill
55,50% advance and 50% 1 Month PDC
56,"20% advance, 80% + Taxes against P.I at Delivery Time"
57,50% at time Inspection & Delivery time & balance 50% 30 days PDC
58,30% advance remaining after 45 days of delivery
59,20 % Advance & 70 % against delivery  remaining 10 % after successful trial
60,50% Against Delivery and remaining 50% 30days PDC from Delivery date
61,100% basic against delivery before dispatch & taxes 30 days PDC.
62,100 % against proforma invoice before dispatch in pune
63,30% advance & balance + taxes against PI before dispatch
64,Payment will be done after 35 or 37 days
65,45 days after dispatch
66,For Item No. 1 AND 2 50% Advance And For Item No.3 20% Advance and remaining + taxes against P.I at Delivery.
67,20% Advance Remaining Against PI Before Dispatch
68,50% against PI before delivery And 50% 30 days PDC
69,50% advance balance against PI before dispatch
70,100% payment after Submission of Report.
71,50% advance And 50% 30 days PDC
72,100% against delivery before dispatch.
73,25% advance and remaining against delivery before dispatch
74,10 days PDC.
75,For first lot Against Delivery Other lot 30 days PDC
76,50% against PI and 50% within 15 days after receipt of bill
77,100 % AGAINST PI BEFORE DELIVERY
78,50 % AGAINST DELIVERY AND 50 % 30 DAYS PDC
79,"50% ADVANCE OF RAW MATERIAL,BALANCE+OTHER CHARGES AGAINST PI BEFORE DISPATCH"
80,"30%  advance, 50 % after installation & remaining payment after SOP"
81,"10% against PI , remaining against dispatch"
82,"10% Advance , 80% against PI and 10% After installation( 18% TAXEX AMOUNT PDC 30 DAYS)"
83,As Per Annexture.
84,100% Against delivery after Dispatch
