Id,GQNNo,GRRId,NormalAccQty,AcceptedQty,DeviatedQty,SegregatedQty,RejectedQty,RejectionReason,SN,PN,Remarks,MId
32376,0001,32705,1.0,1.0,0.0,0.0,0.0,0,,,,9083
32377,0002,32696,6.0,6.0,0.0,0.0,0.0,0,,,,9084
32378,0002,32697,1.0,1.0,0.0,0.0,0.0,0,,,,9084
32379,0002,32698,1.0,1.0,0.0,0.0,0.0,0,,,,9084
32380,0002,32699,1.0,1.0,0.0,0.0,0.0,0,,,,9084
32381,0002,32700,1.0,1.0,0.0,0.0,0.0,0,,,,9084
32382,0002,32701,1.0,1.0,0.0,0.0,0.0,0,,,,9084
32383,0002,32702,1.0,1.0,0.0,0.0,0.0,0,,,,9084
32384,0002,32703,1.0,1.0,0.0,0.0,0.0,0,,,,9084
32385,0002,32704,1.0,1.0,0.0,0.0,0.0,0,,,,9084
32386,0003,32738,2.0,2.0,0.0,0.0,0.0,0,,,,9085
32387,0003,32739,2.0,2.0,0.0,0.0,0.0,0,,,,9085
32388,0003,32740,7.0,7.0,0.0,0.0,0.0,0,,,,9085
32389,0003,32741,3.0,3.0,0.0,0.0,0.0,0,,,,9085
32390,0004,32737,7.0,7.0,0.0,0.0,0.0,0,,,,9086
32391,0005,32724,1.0,1.0,0.0,0.0,0.0,0,,,,9087
32392,0005,32725,1.0,1.0,0.0,0.0,0.0,0,,,,9087
32393,0005,32726,1.0,1.0,0.0,0.0,0.0,0,,,,9087
32394,0005,32727,1.0,1.0,0.0,0.0,0.0,0,,,,9087
32395,0005,32728,2.0,2.0,0.0,0.0,0.0,0,,,,9087
32396,0005,32729,1.0,1.0,0.0,0.0,0.0,0,,,,9087
32397,0006,32712,4.0,4.0,0.0,0.0,0.0,0,,,,9088
32398,0006,32713,4.0,4.0,0.0,0.0,0.0,0,,,,9088
32399,0006,32714,1.0,1.0,0.0,0.0,0.0,0,,,,9088
32400,0006,32715,2.0,2.0,0.0,0.0,0.0,0,,,,9088
32401,0006,32716,2.0,2.0,0.0,0.0,0.0,0,,,,9088
32402,0006,32717,2.0,2.0,0.0,0.0,0.0,0,,,,9088
32403,0006,32718,2.0,2.0,0.0,0.0,0.0,0,,,,9088
32404,0006,32719,2.0,2.0,0.0,0.0,0.0,0,,,,9088
32405,0006,32720,4.0,4.0,0.0,0.0,0.0,0,,,,9088
