Id,MRQNNo,MRNId,AcceptedQty,RejectedQty,MId
12194,0001,13279,1.0,,2324
12195,0002,13280,6.0,,2325
12196,0002,13281,1.0,,2325
12197,0002,13282,1.0,,2325
12198,0002,13283,1.0,,2325
12199,0002,13284,1.0,,2325
12200,0002,13285,1.0,,2325
12201,0002,13286,1.0,,2325
12202,0002,13287,1.0,,2325
12203,0002,13288,1.0,,2325
12204,0003,13289,3.0,,2326
12205,0004,13290,25.0,,2327
12206,0005,13291,1.0,,2328
12207,0005,13292,1.0,,2328
12208,0005,13293,1.0,,2328
12209,0005,13294,1.0,,2328
12210,0005,13295,2.0,,2328
12211,0005,13296,1.0,,2328
12212,0006,13297,4.0,,2329
12213,0006,13298,4.0,,2329
12214,0006,13299,1.0,,2329
12215,0006,13300,2.0,,2329
12216,0006,13301,2.0,,2329
12217,0006,13302,2.0,,2329
12218,0006,13303,2.0,,2329
12219,0006,13304,2.0,,2329
12220,0006,13305,4.0,,2329
12221,0006,13306,1.0,,2329
12222,0006,13307,2.0,,2329
12223,0006,13308,2.0,,2329
12224,0007,13309,4.0,,2330
12225,0007,13310,4.0,,2330
12226,0008,13311,1.0,,2331
12227,0008,13312,3.0,,2331
12228,0009,13316,210.0,,2332
12229,0009,13317,32.0,,2332
12230,0009,13318,52.0,,2332
12231,0010,13319,17.0,,2333
12232,0011,13320,11.0,,2334
12233,0011,13321,12.0,,2334
12234,0012,13322,175.0,,2335
12235,0013,13323,3.0,,2336
12236,0014,13347,62.0,,2337
12237,0014,13348,36.0,,2337
12238,0014,13349,57.0,,2337
12239,0014,13350,75.0,,2337
12240,0014,13351,45.0,,2337
12241,0014,13352,6.0,,2337
12242,0014,13353,39.0,,2337
12243,0014,13354,14.0,,2337
12244,0014,13355,13.0,,2337
12245,0014,13356,27.0,,2337
12246,0014,13357,21.0,,2337
12247,0014,13358,44.0,,2337
12248,0014,13359,65.0,,2337
12249,0014,13360,17.0,,2337
12250,0014,13361,25.0,,2337
12251,0015,13342,125.0,,2338
12252,0015,13343,50.0,,2338
12253,0015,13344,8.0,,2338
12254,0015,13345,1.0,,2338
12255,0015,13346,67.0,,2338
12256,0016,13324,340.0,,2339
12257,0016,13325,22.0,,2339
12258,0016,13326,4.0,,2339
12259,0016,13327,2.0,,2339
12260,0016,13328,50.0,,2339
12261,0016,13329,4.0,,2339
12262,0016,13330,32.0,,2339
12263,0016,13331,22.0,,2339
12264,0016,13332,138.0,,2339
12265,0016,13333,58.0,,2339
12266,0016,13334,26.0,,2339
12267,0016,13335,14.0,,2339
12268,0016,13336,3.0,,2339
12269,0016,13337,6.0,,2339
12270,0016,13338,43.0,,2339
12271,0016,13339,3.0,,2339
12272,0016,13340,1.0,,2339
12273,0016,13341,1.0,,2339
12274,0017,13362,1.0,,2340
12275,0017,13363,1.0,,2340
12276,0017,13364,1.0,,2340
12277,0017,13365,1.0,,2340
12278,0017,13366,1.0,,2340
12279,0017,13367,1.0,,2340
12280,0017,13368,1.0,,2340
12281,0017,13369,2.0,,2340
12282,0018,13370,1.0,,2341
12283,0018,13371,1.0,,2341
12284,0018,13372,1.0,,2341
12285,0018,13373,1.0,,2341
12286,0018,13374,1.0,,2341
12287,0018,13375,1.0,,2341
12288,0018,13376,1.0,,2341
12289,0018,13377,1.0,,2341
12290,0019,13378,1.0,,2342
12291,0019,13379,1.0,,2342
12292,0019,13380,1.0,,2342
12293,0019,13381,1.0,,2342
12294,0019,13382,1.0,,2342
12295,0020,13383,2.0,,2343
12296,0020,13384,6.0,,2343
12297,0020,13385,2.0,,2343
12298,0020,13386,1.0,,2343
12299,0020,13387,1.0,,2343
12300,0020,13388,1.0,,2343
12301,0021,13389,4.0,,2344
12302,0021,13390,2.0,,2344
12303,0021,13391,2.0,,2344
12304,0021,13392,2.0,,2344
12305,0022,13393,8.0,,2345
12306,0022,13394,2.0,,2345
12307,0023,13395,8.0,,2346
12308,0024,13396,1.0,,2347
12309,0025,13397,12.0,,2348
12310,0026,13398,4.0,,2349
12311,0027,13399,8.0,,2350
12312,0028,13400,1.0,,2351
12313,0029,13401,1.0,,2352
12314,0030,13402,2.0,,2353
12315,0030,13403,1.0,,2353
12316,0030,13404,1.0,,2353
12317,0030,13405,1.0,,2353
12318,0030,13406,1.0,,2353
12319,0030,13407,1.0,,2353
12320,0030,13408,1.0,,2353
12321,0031,13421,1.0,,2354
12322,0031,13422,1.0,,2354
12323,0031,13423,4.0,,2354
12324,0031,13424,2.0,,2354
12325,0031,13425,1.0,,2354
12326,0031,13426,1.0,,2354
12327,0031,13427,1.0,,2354
12328,0031,13428,1.0,,2354
12329,0031,13429,1.0,,2354
12330,0031,13430,1.0,,2354
12331,0032,13431,2.0,,2355
12332,0032,13432,2.0,,2355
12333,0032,13433,1.0,,2355
12334,0032,13434,1.0,,2355
12335,0032,13435,1.0,,2355
12336,0032,13436,1.0,,2355
12337,0032,13437,1.0,,2355
12338,0032,13438,2.0,,2355
12339,0032,13439,1.0,,2355
12340,0033,13440,1.0,,2356
12341,0033,13441,5.0,,2356
12342,0033,13442,2.0,,2356
12343,0033,13443,2.0,,2356
12344,0033,13444,2.0,,2356
12345,0034,13445,1.0,,2357
12346,0035,13446,1.0,,2358
12347,0035,13447,1.0,,2358
12348,0035,13448,1.0,,2358
12349,0035,13449,1.0,,2358
12350,0035,13450,1.0,,2358
12351,0035,13451,2.0,,2358
12352,0035,13452,1.0,,2358
12353,0035,13453,5.0,,2358
12354,0035,13454,2.0,,2358
12355,0035,13455,2.0,,2358
12356,0035,13456,2.0,,2358
12357,0035,13457,1.0,,2358
12358,0035,13458,2.0,,2358
12359,0036,13459,1.0,,2359
12360,0037,13460,1.0,,2360
12361,0037,13461,2.0,,2360
12362,0037,13462,1.0,,2360
12363,0037,13463,1.0,,2360
12364,0037,13464,1.0,,2360
12365,0037,13465,1.0,,2360
12366,0037,13466,2.0,,2360
12367,0037,13467,1.0,,2360
12368,0037,13468,1.0,,2360
12369,0037,13469,1.0,,2360
12370,0037,13470,2.0,,2360
12371,0037,13471,2.0,,2360
12372,0037,13472,1.0,,2360
12373,0037,13473,1.0,,2360
12374,0038,13474,4.0,,2361
12375,0039,13475,1.0,,2362
12376,0039,13476,1.0,,2362
12377,0039,13477,1.0,,2362
12378,0039,13478,3.0,,2362
12379,0039,13479,1.0,,2362
12380,0039,13480,2.0,,2362
12381,0039,13481,2.0,,2362
12382,0039,13482,1.0,,2362
12383,0039,13483,1.0,,2362
12384,0040,13484,2.0,,2363
12385,0041,13485,2.0,,2364
12386,0041,13486,2.0,,2364
12387,0041,13487,1.0,,2364
12388,0041,13488,1.0,,2364
12389,0041,13489,1.0,,2364
12390,0041,13490,1.0,,2364
12391,0041,13491,1.0,,2364
12392,0041,13492,5.0,,2364
12393,0041,13493,1.0,,2364
12394,0041,13494,2.0,,2364
12395,0041,13495,1.0,,2364
12396,0041,13496,1.0,,2364
12397,0041,13497,1.0,,2364
12398,0041,13498,1.0,,2364
12399,0041,13499,2.0,,2364
12400,0041,13500,2.0,,2364
12401,0041,13501,5.0,,2364
12402,0042,13502,1.0,,2365
12403,0042,13503,1.0,,2365
12404,0042,13504,1.0,,2365
12405,0042,13505,1.0,,2365
12406,0042,13506,2.0,,2365
12407,0043,13507,1.0,,2366
12408,0044,13508,2.0,,2367
12409,0044,13509,1.0,,2367
12410,0044,13510,1.0,,2367
12411,0044,13511,1.0,,2367
12412,0045,13512,1.0,,2368
12413,0046,13513,14.0,,2369
12414,0046,13514,15.0,,2369
12415,0046,13515,46.0,,2369
12416,0046,13516,93.0,,2369
12417,0047,13514,35.0,,2370
12418,0048,13409,153.0,,2371
12419,0048,13410,54.0,,2371
12420,0048,13411,13.0,,2371
12421,0048,13412,7.0,,2371
12422,0048,13413,416.0,,2371
12423,0048,13414,16.0,,2371
12424,0048,13415,44.0,,2371
12425,0048,13416,17.0,,2371
12426,0048,13417,24.0,,2371
12427,0048,13418,99.0,,2371
12428,0048,13419,167.0,,2371
12429,0048,13420,12.0,,2371
12430,0049,13313,52.0,,2372
12431,0049,13314,32.0,,2372
12432,0049,13315,210.0,,2372
12433,0050,13517,153.0,,2373
12434,0050,13518,11.0,,2373
12435,0050,13519,491.0,,2373
12436,0050,13520,193.0,,2373
12437,0050,13521,79.0,,2373
12438,0050,13522,12.0,,2373
12439,0050,13523,20.0,,2373
12440,0050,13524,61.0,,2373
12441,0050,13525,12.0,,2373
12442,0050,13526,70.0,,2373
12443,0050,13527,134.0,,2373
12444,0050,13528,14.0,,2373
12445,0050,13529,25.0,,2373
12446,0050,13530,3.0,,2373
12447,0050,13531,5.0,,2373
12448,0050,13532,54.0,,2373
12449,0050,13533,17.0,,2373
12450,0050,13534,33.0,,2373
12451,0050,13535,22.0,,2373
12452,0050,13536,9.0,,2373
12453,0050,13537,60.0,,2373
12454,0050,13538,8.0,,2373
12455,0050,13539,16.0,,2373
12456,0050,13540,22.0,,2373
12457,0050,13541,87.0,,2373
12458,0050,13542,6.0,,2373
12459,0050,13543,10.0,,2373
12460,0051,13544,75.0,,2374
12461,0051,13545,120.0,,2374
12462,0051,13546,129.0,,2374
12463,0052,13557,6.0,,2375
12464,0052,13558,200.0,,2375
12465,0052,13559,4.0,,2375
12466,0052,13560,16.0,,2375
12467,0052,13561,176.0,,2375
12468,0052,13562,4.0,,2375
12469,0052,13563,4.0,,2375
12470,0053,13551,108.0,,2376
12471,0053,13552,107.0,,2376
12472,0053,13553,16.0,,2376
12473,0053,13554,17.0,,2376
12474,0053,13555,14.0,,2376
12475,0053,13556,17.0,,2376
12476,0054,13547,11.0,,2377
12477,0054,13548,11.0,,2377
12478,0054,13549,10.0,,2377
12479,0054,13550,8.0,,2377
12480,0055,13564,1.0,,2378
12481,0055,13565,1.0,,2378
12482,0055,13566,1.0,,2378
12483,0055,13567,2.0,,2378
12484,0055,13568,1.0,,2378
12485,0055,13569,1.0,,2378
12486,0055,13570,1.0,,2378
12487,0055,13571,2.0,,2378
12488,0055,13572,1.0,,2378
12489,0055,13573,1.0,,2378
12490,0055,13574,1.0,,2378
12491,0055,13575,1.0,,2378
12492,0055,13576,2.0,,2378
12493,0055,13577,1.0,,2378
12494,0055,13578,1.0,,2378
12495,0055,13579,1.0,,2378
12496,0055,13580,1.0,,2378
12497,0056,13581,2.0,,2379
12498,0056,13582,1.0,,2379
12499,0057,13583,1.0,,2380
12500,0057,13584,1.0,,2380
12501,0057,13585,1.0,,2380
12502,0057,13586,2.0,,2380
12503,0057,13587,1.0,,2380
12504,0057,13588,1.0,,2380
12505,0057,13589,4.0,,2380
12506,0057,13590,1.0,,2380
12507,0058,13591,1.0,,2381
12508,0058,13592,5.0,,2381
12509,0058,13593,1.0,,2381
12510,0059,13594,1.0,,2382
12511,0059,13595,1.0,,2382
12512,0059,13596,2.0,,2382
12513,0059,13597,1.0,,2382
12514,0060,13598,1.0,,2383
12515,0060,13599,1.0,,2383
12516,0060,13600,2.0,,2383
12517,0061,13601,25.0,,2384
12518,0061,13602,5.0,,2384
12519,0061,13603,2.0,,2384
12520,0062,13604,1.0,,2385
12521,0062,13605,1.0,,2385
12522,0062,13606,1.0,,2385
12523,0062,13607,1.0,,2385
12524,0062,13608,2.0,,2385
12525,0063,13609,1.0,,2386
12526,0063,13610,3.0,,2386
12527,0063,13611,1.0,,2386
12528,0063,13612,1.0,,2386
12529,0063,13613,1.0,,2386
12530,0064,13614,1.0,,2387
12531,0065,13673,42.0,,2388
12532,0066,13674,1.0,,2389
12533,0066,13675,1.0,,2389
12534,0066,13676,2.0,,2389
12535,0066,13677,2.0,,2389
12536,0067,13661,33.0,,2390
12537,0067,13662,2.0,,2390
12538,0067,13663,231.0,,2390
12539,0067,13664,4.0,,2390
12540,0067,13665,56.0,,2390
12541,0067,13666,151.0,,2390
12542,0067,13667,406.0,,2390
12543,0067,13668,3.0,,2390
12544,0067,13669,13.0,,2390
12545,0067,13670,4.0,,2390
12546,0067,13671,10.0,,2390
12547,0067,13672,654.0,,2390
12548,0068,13652,242.0,,2391
12549,0068,13653,170.0,,2391
12550,0068,13654,464.0,,2391
12551,0068,13655,100.0,,2391
12552,0068,13656,23.0,,2391
12553,0068,13657,724.0,,2391
12554,0068,13658,24.0,,2391
12555,0068,13659,3.0,,2391
12556,0068,13660,16.0,,2391
12557,0069,13646,22.0,,2392
12558,0069,13647,653.0,,2392
12559,0069,13648,24.0,,2392
12560,0069,13649,172.0,,2392
12561,0069,13650,32.0,,2392
12562,0069,13651,17.0,,2392
12563,0070,13644,102.0,,2393
12564,0070,13645,19.0,,2393
12565,0071,13619,3.0,,2394
12566,0071,13620,57.0,,2394
12567,0071,13621,28.0,,2394
12568,0071,13622,108.0,,2394
12569,0071,13623,49.0,,2394
12570,0071,13624,21.0,,2394
12571,0071,13625,4.0,,2394
12572,0071,13626,3.0,,2394
12573,0071,13627,3.0,,2394
12574,0071,13628,184.0,,2394
12575,0071,13629,2.0,,2394
12576,0071,13630,5.0,,2394
12577,0071,13631,31.0,,2394
12578,0071,13632,2.0,,2394
12579,0071,13633,35.0,,2394
12580,0071,13634,2.0,,2394
12581,0071,13635,5.0,,2394
12582,0071,13636,11.0,,2394
12583,0071,13637,500.0,,2394
12584,0071,13638,40.0,,2394
12585,0071,13639,37.0,,2394
12586,0071,13640,56.0,,2394
12587,0071,13641,59.0,,2394
12588,0071,13642,13.0,,2394
12589,0071,13643,8.0,,2394
12590,0072,13616,15.0,,2395
12591,0072,13617,30.0,,2395
12592,0072,13618,16.0,,2395
12593,0073,13615,1726.0,,2396
12594,0074,13680,1.0,,2397
12595,0075,13681,10.0,,2398
12596,0076,13682,1.0,,2399
12597,0077,13683,16.0,,2400
12598,0078,13684,1.0,,2401
12599,0078,13685,1.0,,2401
12600,0078,13686,1.0,,2401
12601,0078,13687,1.0,,2401
12602,0078,13688,1.0,,2401
12603,0078,13689,1.0,,2401
12604,0078,13690,1.0,,2401
12605,0078,13691,1.0,,2401
12606,0078,13692,6.0,,2401
12607,0078,13693,6.0,,2401
12608,0078,13694,2.0,,2401
12609,0078,13695,2.0,,2401
12610,0078,13696,8.0,,2401
12611,0079,13697,11.0,,2402
12612,0079,13698,6.0,,2402
12613,0079,13699,70.0,,2402
12614,0079,13700,3.0,,2402
12615,0079,13701,22.0,,2402
12616,0079,13702,22.0,,2402
12617,0079,13703,7.0,,2402
12618,0079,13704,4.0,,2402
12619,0080,13678,4.0,,2403
12620,0080,13679,4.0,,2403
12621,0081,13733,43.0,,2404
12622,0081,13734,505.0,,2404
12623,0081,13735,423.0,,2404
12624,0081,13736,56.0,,2404
12625,0081,13737,124.0,,2404
