SubModLinkId,Access,LinkPage,SubModId
1,1,FinYrs_New.aspx,1
2,2,FinYrs_Update.aspx,1
3,3,FinYrs_Delete.aspx,1
4,1,CustomerMaster_New.aspx,7
5,2,CustomerMaster_Edit.aspx,7
6,3,CustomerMaster_Delete.aspx,7
7,4,CustomerMaster_Print.aspx,7
8,1,CustEnquiry_New.aspx,10
9,2,CustEnquiry_Edit.aspx,10
10,3,CustEnquiry_Delete.aspx,10
11,1,CustPO_New.aspx,11
12,2,CustPO_Edit.aspx,11
13,3,CustPO_Delete.aspx,11
14,4,CustPO_Print.aspx,11
15,1,WorkOrder_New.aspx,13
16,2,WorkOrder_Edit.aspx,13
17,3,WorkOrder_Delete.aspx,13
18,4,WorkOrder_Print.aspx,13
19,4,CustomerMaster_Print.aspx,7
20,4,CustEnquiry_Print.aspx,10
21,1,ItemLocation_New.aspx,18
22,2,ItemLocation_Edit.aspx,18
23,3,ItemLocation_Delete.aspx,18
24,1,CategoryNew.aspx,19
25,2,CategoryEdit.aspx,19
26,3,CategoryDelete.aspx,19
27,1,SubCategoryNew.aspx,20
28,2,SubCategoryEdit.aspx,20
29,3,SubCategoryDelete.aspx,20
30,1,ItemMaster_New.aspx,21
31,2,ItemMaster_Edit.aspx,21
32,3,ItemMaster_Delete.aspx,21
33,4,ItemMaster_Print.aspx,21
34,1,SupplierMaster_New.aspx,22
35,2,SupplierMaster_Edit.aspx,22
36,4,SupplierMaster_Print.aspx,22
37,3,SupplierMaster_Delete.aspx,22
38,1,TPL_Design_WO_Grid.aspx,23
39,2,TPL_Design_WO_Grid_Update.aspx,23
40,1,OfficeStaff_New.aspx,24
41,2,OfficeStaff_Edit.aspx,24
42,3,OfficeStaff_Delete.aspx,24
43,4,OfficeStaff_Print.aspx,24
44,1,OfferLetter_New.aspx,25
45,2,OfferLetter_Edit.aspx,25
46,3,OfferLetter_Delete.aspx,25
47,3,TPL_Design_Delete.aspx,23
48,4,TPL_Design_PrintWo.aspx,23
49,1,BOM_Design_WO_Grid.aspx,26
50,2,BOM_Design_WO_Grid_Update.aspx,26
51,3,BOM_Design_Delete.aspx,26
52,4,BOM_Design_PrintWo.aspx,26
53,1,NewsandNotices_New.aspx,29
54,2,NewsandNotices_Edit.aspx,29
55,3,NewsandNotices_Delete.aspx,29
56,1,SPR_New.aspx,31
57,1,Material_New.aspx,32
58,2,Material_Edit.aspx,32
59,3,Material_Delete.aspx,32
60,4,SPR_Print.aspx,31
61,1,Planning_New.aspx,33
62,1,PR_New.aspx,34
63,1,PO_New.aspx,35
64,3,PR_Delete.aspx,34
65,3,SPR_Delete.aspx,31
66,4,PO_Print_Supplier.aspx,35
67,3,PO_Delete_Supplier.aspx,35
68,1,GoodsInwardNote_GIN_New.aspx,37
69,2,GoodsInwardNote_GIN_Edit.aspx,37
70,3,GoodsInwardNote_GIN_Delete.aspx,37
71,4,GoodsInwardNote_GIN_Print.aspx,37
72,1,GoodsReceivedReceipt_GRR_New.aspx,38
73,2,GoodsReceivedReceipt_GRR_Edit.aspx,38
74,3,GoodsReceivedReceipt_GRR_Delete.aspx,38
75,4,GoodsReceivedReceipt_GRR_Print.aspx,38
76,1,GoodsServiceNote_SN_New.aspx,39
77,2,GoodsServiceNote_SN_Edit.aspx,39
78,3,GoodsServiceNote_SN_Delete.aspx,39
79,4,GoodsServiceNote_SN_Print.aspx,39
80,1,GoodsQualityNote_GQN_New.aspx,46
81,2,GoodsQualityNote_GQN_Edit.aspx,46
82,3,GoodsQualityNote_GQN_Delete.aspx,46
83,4,GoodsQualityNote_GQN_Print.aspx,46
84,1,MaterialReturnNote_MRN_New.aspx,48
85,2,MaterialReturnNote_MRN_Edit.aspx,48
86,3,MaterialReturnNote_MRN_Delete.aspx,48
87,4,MaterialReturnNote_MRN_Print.aspx,48
88,1,MaterialRequisitionSlip_MRS_New.aspx,40
89,2,MaterialRequisitionSlip_MRS_Edit.aspx,40
90,3,MaterialRequisitionSlip_MRS_Delete.aspx,40
91,4,MaterialRequisitionSlip_MRS_Print.aspx,40
92,2,PO_Edit_Supplier.aspx,35
93,2,SPR_Edit.aspx,31
94,1,ItemLocation_New.aspx,18
95,2,ItemLocation_Edit.aspx,18
96,3,ItemLocation_Delete.aspx,18
97,1,MaterialIssueNote_MIN_New.aspx,41
98,2,MaterialIssueNote_MIN_Edit.aspx,41
99,3,MaterialIssueNote_MIN_Delete.aspx,41
100,4,MaterialIssueNote_MIN_Print.aspx,41
101,1,MaterialReturnNote_MRN_New.aspx,48
102,2,MaterialReturnNote_MRN_Edit.aspx,48
103,3,MaterialReturnNote_MRN_Delete.aspx,48
104,4,MaterialReturnNote_MRN_Print.aspx,48
105,1,MaterialReturnQualityNote_MRQN_New.aspx,49
106,3,MaterialReturnQualityNote_MRQN_Delete.aspx,49
107,4,MaterialReturnQualityNote_MRQN_Print.aspx,49
108,2,MaterialReturnQualityNote_MRQN_Edit.aspx,49
109,4,PR_Print.aspx,34
110,2,PR_Edit.aspx,34
111,1,MobileBills_New.aspx,50
112,2,MobileBills_Edit.aspx,50
113,3,MobileBills_Delete.aspx,50
114,4,MobileBills_Print.aspx,50
115,1,SalesInvoice_New.aspx,51
116,2,SalesInvoice_Edit.aspx,51
117,3,SalesInvoice_Delete.aspx,51
118,4,SalesInvoice_Print.aspx,51
119,1,ServiceTaxInvoice_New.aspx,52
120,2,ServiceTaxInvoice_Edit.aspx,52
121,3,ServiceTaxInvoice_Delete.aspx,52
122,4,ServiceTaxInvoice_Print.aspx,52
123,3,Planning_Delete.aspx,33
124,2,Planning_Edit.aspx,33
125,4,WIS_ActualRun_Print.aspx,53
126,4,Planning_Print.aspx,33
127,1,WorkOrder_Release.aspx,15
128,1,WorkOrder_Dispatch.aspx,54
129,1,PO_Check.aspx,55
130,1,PO_Approve.aspx,56
131,1,PO_Authorize.aspx,57
132,1,SPR_Check.aspx,58
133,1,SPR_Approve.aspx,59
134,1,SPR_Authorize.aspx,60
135,1,RateLockUnLock.aspx,61
136,1,BillBooking_New.aspx,62
137,2,BillBooking_Edit.aspx,62
138,3,BillBooking_Delete.aspx,62
139,4,BillBooking_Print.aspx,62
140,1,Quotation_New.aspx,63
141,2,Quotation_Edit.aspx,63
142,3,Quotation_Delete.aspx,63
143,4,Quotation_Print.aspx,63
144,1,Quotation_Check.aspx,64
145,1,Quotation_Approve.aspx,65
146,1,Quotation_Authorize.aspx,66
