Id,SysDate,SysTime,CompId,SessionId,FinYearId,VehNo,Date,Vehical_Name,Contact,Destination,Address,FromKM,FromTo,Avg,Fluel_Date,Fluel_Rs,Material,Emp
2,2022-02-16,4:35:17 PM,1,sapl0001,9,1,16-02-2022,ALTO MH12 AB 1234,9822355926/9850986845,HARDTECH HARDWARE,"1613 Shukrawar Peth Bhori Ali,",15000,16955,0,15-02-2022,800,BEARINGS,Akshay shrikrishana surwase
3,2022-02-18,5:02:54 PM,1,sapl0357,9,2,18-02-2022,BOLERO PIKUP MH12 EF 5483,9423573682,DHANLAXMI PROFILES,"S.No.39/1/39/2,Manikbaug, Vadgaon (Bk)Pune",0,0,0,-,-,S S SHEET,Akshay shrikrishana surwase
4,2022-02-19,12:17:26 PM,1,sapl0357,9,3,19-02-2022,ALTO CAR MH 12 FP 4744,-,COLOURSHINE POLYCOATS PVT. LTD.,"Gut No 7, Property no 393, Kasurdi road, kasurdi, bhor, pune",0,0,0,-,-,PAINT,Akshay shrikrishana surwase
5,2022-02-20,8:55:53 AM,1,sapl0357,9,4,19-02-2022,ALTO CAR MH 12 FP 4744,8766968275,SUN COAT PAINTS,"SHOP NO.3,LAKE VIEW LITRATE , OPP KAKA PAWAR TALIM AMBEGAON KH, PUNE- 411046",0,0,0,-,-,PAINT,Akshay shrikrishana surwase
6,2022-02-21,1:10:14 PM,1,sapl0357,9,5,20-02-2022,BOLERO PIKUP MH12 EF 5483,-,TATA MOTORS LTD,CHAKAN,0,0,0,-,-,RACK -LM RAIL,Vasant Pandurang Bangal
7,2022-02-22,10:53:44 AM,1,sapl0357,9,6,21-02-2022,ALTO CAR MH 12 FP 4744,98227992034,PATNI TRADING CO.,"3 MUKUND NAGAR,Near Laxminarayan Theater,Swargate.",100708,100762,0,-,-,WELDING TORCH,Ganesh Rajaram Dhadwe
8,2022-02-22,11:03:20 AM,1,sapl0357,9,7,22-02-2022,BOLERO PIKUP MH12 EF 5483,02026386466/26389510,GANESH ENGINEERING CORPORATION,"13,BHAWANI PETH,NEAR PALKHI CHOWK,OPP.HAMAL PANCHAYAT,PUNE 411042",0,0,0,-,-,S S SHEET,Akshay shrikrishana surwase
9,2022-02-22,11:30:52 AM,1,sapl0357,9,8,22-02-2022,ALTO CAR MH 12 FP 4744,-,-,VELU,100819,100828,0,-,-,KUTTI,Dhananjay Bapu Kate
10,2022-02-23,10:25:26 AM,1,sapl0357,9,9,22-02-2022,ALTO CAR MH 12 FP 4744,9730306364,SARTHAK ENTERPRISES,"Shop No.1, Barne Ind Estate,
Opp Padamhee Paper mill, Thergaon,",100830,100908,0,22-02-2022,2000,DUNNAGE 105 TAIL GATE,Akshay shrikrishana surwase
11,2022-02-26,9:21:17 AM,1,sapl0357,9,10,25-02-2022,ALTO CAR MH 12 FP 4744,9730306364,SARTHAK ENTERPRISES,"Shop No.1, Barne Ind Estate,
Opp Padamhee Paper mill, Thergaon,",101122,0,0,25-02-2022,2000,DUNNAGE 105 TAIL GATE,Pravin Dhanpal Chougule
12,2022-02-26,1:44:57 PM,1,sapl0357,9,11,26-02-2022,BOLERO PIKUP MH12 EF 5483,8766968275,SUN COAT PAINTS,"SHOP NO.3,LAKE VIEW LITRATE , OPP KAKA PAWAR TALIM AMBEGAON KH, PUNE- 411046",345183,345215,0,26-02-2022,-,PAINT,Ajay Bajarang Kavare
13,2022-02-26,1:46:18 PM,1,sapl0357,9,12,26-02-2022,EICHER TEMPO MH12 LT 8564,-,GE STAMP,"E1,CHAKAN MIDC ROAD PHASE-III KHARABWADI CHAKAN",0,0,0,26-02-2022,3000,PALLET BODY SIDE TAIL GATE,Vinodkumar Sharmrao kadepure
14,2022-02-26,4:39:45 PM,1,sapl0357,9,13,26-02-2022,ALTO CAR MH 12 FP 4744,-,STAR HARDWARE,"883,BUDHWSAR PETH,BELOW GUJRAT LODGE,BOHRI ALI PUNE-2",101260,101323,0,-,-,HARDWARE,Ajay Bajarang Kavare
15,2022-02-27,4:24:34 PM,1,sapl0357,9,14,27-02-2022,ALTO CAR MH 12 FP 4744,9730306364,SARTHAK ENTERPRISES,"Shop No.1, Barne Ind Estate,
Opp Padamhee Paper mill, Thergaon,",101347,101431,0,27-02-2022,3600,DUNNAGE 105 TAIL GATE,Pravin Dhanpal Chougule
16,2022-03-01,11:26:21 AM,1,sapl0357,9,15,28-02-2022,EICHER TEMPO MH12 LT 8564,-,GE STAMP,"E1,CHAKAN MIDC ROAD PHASE-III KHARABWADI CHAKAN",140966,141097,0,-,-,PALLET BODY SIDE TAIL GATE,Vinodkumar Sharmrao kadepure
17,2022-03-01,11:27:45 AM,1,sapl0357,9,16,01-03-2022,EICHER TEMPO MH12 LT 8564,-,GE STAMP,"E1,CHAKAN MIDC ROAD PHASE-III KHARABWADI CHAKAN",0,0,0,-,-,DUNNAGE 105 TAIL GATE,Vinodkumar Sharmrao kadepure
19,2022-03-06,9:32:52 AM,1,sapl0357,9,17,05-03-2022,ALTO CAR MH 12 FP 4744,9373193658,THE CORPORATE TEES,"216,Neeta Chambers,Shop No.01 Opp-Hotel Dwarka Gaonthan Shivaji Nagar Pune",101933,101980,0,04-03-2022,3710,uniforms,Dhananjay Bapu Kate
20,2022-03-06,9:34:26 AM,1,sapl0357,9,18,04-03-2022,EICHER TEMPO MH12 LT 8564,-,ge stamp,"E1,CHAKAN MIDC ROAD PHASE-III KHARABWADI CHAKAN",0,0,0,-,-,PALLET BODY SIDE TAIL GATE,Vinodkumar Sharmrao kadepure
21,2022-03-11,12:10:34 PM,1,sapl0357,9,19,10-03-2022,EICHER TEMPO MH12 LT 8564,-,GE STAMP,"E1,CHAKAN MIDC ROAD PHASE-III KHARABWADI CHAKAN",0,0,0,-,-,PALLET BODY SIDE TAIL GATE,Vinodkumar Sharmrao kadepure
22,2022-03-11,12:11:21 PM,1,sapl0357,9,20,11-03-2022,EICHER TEMPO MH12 LT 8564,-,GE STAMP,"E1,CHAKAN MIDC ROAD PHASE-III KHARABWADI CHAKAN",0,0,0,-,-,DUNNAGE 105 TAIL GATE,Vinodkumar Sharmrao kadepure
23,2022-03-13,11:02:54 AM,1,sapl0357,9,21,12-03-2022,EICHER TEMPO MH12 LT 8564,-,GE STAMP,"E1,CHAKAN MIDC ROAD PHASE-III KHARABWADI CHAKAN",0,0,0,-,-,PALLET BODY SIDE TAIL GATE,Vinodkumar Sharmrao kadepure
24,2022-03-22,4:06:59 PM,1,sapl0357,9,22,22-03-2022,BOLERO PIKUP MH12 EF 5483,-,XYZ,VALU,0,0,0,-,-,KUTTI,Dhananjay Bapu Kate
25,2022-08-08,11:44:56 AM,1,sapl0363,10,23,08-08-2022,TWO WHEELER MH 12 GU 6133,9604549533,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",0,30,0,08-08-2022,100,BLACKODISING MATERIAL,SATISH MEMANE
26,2022-08-09,10:34:57 AM,1,sapl0363,10,24,09-08-2022,BOLERO PIKUP MH12 EF 5483,-,SHIV SHAKTI SAND BLASTING,"RANJE,KHED SHIVAPUR",0,15,0,09-08-2022,150,MS STAND ,GANESH DHADWE
27,2022-08-09,3:23:02 PM,1,sapl0363,10,25,09-08-2022,TWO WHEELER MH 12 GU 6133,9765803175,sanjot electrical ,"shukravar peth ,pune ",0,50,0,09-08-2022,200,electrical material,Kiran Raju Mitthapelli
28,2022-08-10,2:23:54 PM,1,sapl0363,10,26,09-08-2022,BOLERO PIKUP MH12 EF 5483,9423573682,DHANLAXMI PROFILES,"S.No.39/1/39/2,Manikbaug, Vadgaon (Bk)Pune",0,40,0,09-08-2022,200,plate,Akshay shrikrishana surwase
29,2022-08-10,2:25:41 PM,1,sapl0363,10,27,10-08-2022,BOLERO PIKUP MH12 EF 5483,9881203151,BALAJI ENGINEERING CORPORATION,"Office No 9, Pesh Industrial Premises, Plot No S-79/1A, S Block, Telco Road, MIDC Bhosari, Pune 411026",0,85,0,10-08-2022,500,wheel ,Akshay shrikrishana surwase
30,2022-08-10,2:27:21 PM,1,sapl0363,10,28,10-08-2022,TWO WHEELER MH 12 GU 6133,-,SHREE SAI ENTERPRISES,NEAR NAIVADYA HOTEL VELU PHATA KHED SHIVAPUR PUNE.,0,15,0,10-08-2022,50,hardware,Akshay shrikrishana surwase
31,2022-08-10,2:37:17 PM,1,sapl0363,10,29,10-08-2022,TWO WHEELER MH 12 GU 6133,9370443492,JET WORKS,kasurdi,0,8,0,10-08-2022,,bending & cutting material inspection,Ajay Bajarang Kavare
32,2022-08-12,4:37:18 PM,1,sapl0363,10,30,11-08-2022,BOLERO PIKUP MH12 EF 5483,,SHREE SHYAM PROCESSORS PVT LTD," D 92,MIDC SATPUR ,NASHIK-07",0,550,0,11-08-2022,3500,dispatch material,Vilas Changdev Pethe
33,2022-08-12,4:40:05 PM,1,sapl0363,10,31,12-08-2022,TWO WHEELER MH 12 GU 6133,9371076347,BHARAT TOOLS & HARDWARE,velu fata ,0,15,0,12-08-2022,50,bii recived,Ajay Bajarang Kavare
34,2022-08-12,4:41:42 PM,1,sapl0363,10,32,12-08-2022,TWO WHEELER MH 12 GU 6133,9604549533,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",0,35,0,12-08-2022,100,BLACKODISING MATERIAL,navnath kamble
35,2022-08-13,9:30:58 AM,1,sapl0363,10,33,,,-,SHIV SHAKTI SAND BLASTING,"RANJE ,KHED SHIVAPUR",0,30,0,13-08-2022,200,reciving sand blasting material,Vilas Changdev Pethe
36,2022-08-13,9:32:33 AM,1,sapl0363,10,34,13-08-2022,BOLERO PIKUP MH12 EF 5483,-,BALU MAMA ENTERPRISES,kasurdikhaba,0,10,0,13-08-2022,50,plating material,Vilas Changdev Pethe
