Id,SrNO,Item_code,Group,Description,Unit,Qty_month,ReOrder,Min_order,Day
1,1,I001-003-200,A,STRAIGHT SHANK DRILL - DIA 3.2MM MAKE ADDISON,NOS.,5,2,5,10
2,2,I001-004-500,A,STRAIGHT SHANK DRILL - DIA 4.5MM MAKE ADDISON,NOS.,5,2,5,10
3,3,I001-006-800,A,STRAIGHT SHANK DRILL - DIA 6.8MM MAKE ADDISON,NOS.,5,2,5,10
4,4,I001-008-500,A, STRAIGHT SHANK DRILL - DIA 8.5MM MAKE ADDISON,NOS.,5,2,5,10
5,5,I001-009-800,A,STRAIGHT SHANK DRILL - DIA 9.8MM MAKE ADDISON,NOS.,4,1,4,10
6,6,I001-010-200,A,STRAIGHT SHANK DRILL - DIA 10.2MM MAKE ADDISON,NOS.,4,1,4,10
7,7,I002-014-000,A,TAPER SHANK DRILL - DIA 14.00MM,NOS.,1,1,1,10
8,8,I002-019-500,A, TAPER SHANK DRILL - DIA 19.50MM,NOS.,1,1,1,10
9,9,I004-302-800,A,CENTRE DRILL DIA 3.2 x DIA 8MM,NOS.,1,1,1,10
10,10,I005-006-007,A,HAND HSS REAMER - 6H7 MAKE ADDISON,NOS.,1,1,2,10
11,11,I005-008-007,A,HAND HSS REAMER - 8H7 MAKE ADDISON,NOS.,1,1,1,10
12,12,I005-010-007,A,HAND HSS REAMER - 10H7 MAKE ADDISON,NOS.,1,1,1,10
13,13,I005-012-007,A,HAND HSS REAMER - 12H7 MAKE ADDISON,NOS.,1,1,1,10
14,14,I008-003-400,A,CARBIDE TIPS CUTTER - 3/4 inch TRIANGULAR DNMG/P30,NOS.,50,14,50,10
15,15,I008-001-200,A,CARBIDE TIPS CUTTER - 1/2 inch SQUARE DNMG/P30,NOS.,50,10,50,10
16,16,I011-003-000,A,END MILL CUTTER - PARALLEL SHANK - 3MM MAKE ADDISON,NOS.,3,1,3,10
17,17,I011-006-000,A,END MILL CUTTER - PARALLEL SHANK - 6MM MAKE ADDISON,NOS.,3,1,3,10
18,18,I011-009-000,A,END MILL CUTTER - PARALLEL SHANK - 9MM MAKE ADDISON,NOS.,3,1,3,10
19,19,I011-011-000,A,END MILL CUTTER - PARALLEL SHANK - 11MM MAKE ADDISON,NOS.,3,1,3,10
20,20,I019-300-500,A, HAND TAP M3x0.5P MAKE TOTEM,set,5,2,5,10
21,21,I019-400-700,A,HAND TAP M4x0.7P MAKE TOTEM,set,5,2,5,10
22,22,I019-500-000,A,HAND TAP M5x P MAKE TOTEM,set,5,2,5,10
23,23,I019-600-001,A, HAND TAP M6x1P MAKE TOTEM,set,5,2,5,10
24,24,I019-801-250,A,HAND TAP M8x1.25P MAKE TOTEM,set,5,2,5,10
25,25,I019-101-250,A, HAND TAP M10x1.5P MAKE TOTEM,set,4,1,4,10
26,26,I019-121-750,A, HAND TAP M12x1.75P MAKE TOTEM,set,4,1,4,10
27,27,I025-600-010,A,M/C PARALLEL CARBIDE REAMER - 6D10 MAKE SPIRAL,NOS.,3,1,3,10
28,28, I025-800-010,A,M/C PARALLEL CARBIDE REAMER - 8D10 MAKE SPIRAL,NOS.,3,1,3,10
29,29, I025-100-010,A, M/C PARALLEL CARBIDE REAMER - 10D10 MAKE SPIRAL,NOS.,3,1,3,10
30,30, I025-120-010,A, M/C PARALLEL CARBIDE REAMER - 12D10 MAKE SPIRAL,NOS.,3,1,3,10
31,31,I027-001-160,A,GAS CUTTING NOZZLE TYPE B- SIZE 1/16 FOR THICKNESS-25-100MM,NOS.,3,1,3,10
32,32,I027-001-320,A,GAS CUTTING NOZZLE TYPE B- SIZE 1/32 FOR THICKNESS -1-10MM,NOS.,3,1,3,10
33,33, I027-003-640,A,GAS CUTTING NOZZLE TYPE B- SIZE 3/64 FOR THICKNESS-12-20MM,NOS.,3,1,3,10
34,34,I031-004-000,A, WELDING ROD M.S. GAUGE 4-MANGALAM,NOS.,12,2,12,10
35,35,I031-003-150,A,WELDING ROD M.S. GAUGE 3.15 MAKE MANGALAM,NOS.,12,2,12,10
36,36,I032-140-800,A,CO2 WIRE SPOOL 14 INCH- 0.8MM -TATA MAKE,NOS.,10,3,10,10
37,37,I037-000-800,A, TIPS CO2 COPPER - 0.8,NOS.,25,2,25,10
38,38,I037-000-000,A,BRASS TIPS HOLDER (FOR CO2 WELDING),NOS.,25,4,25,10
39,39,I039-000-001,A,HAND GLOVE COTTON,NOS.,70,10,70,10
40,40,I039-000-003,A, WELDING GOGGLE,NOS.,14,5,14,10
41,41,I039-000-005,A,PLAIN GOGGLE,NOS.,30,5,30,10
42,42,I039-000-004,A,WELDING GLASS WHITE,NOS.,30,6,30,10
43,43,I039-000-006,A,WELDING GLASS BLACK,NOS.,15,4,15,10
44,44,I039-000-024,A, HAND GLOVES RUBBER,NOS.,10,5,10,10
45,45,I039-000-026 ,A,PLASTIC & COTTON PAINTING MASK,NOS.,20,10,20,10
46,46,I039-000-518,A,150x80x25 AA46 J5 VL VSH28012200070 Stone for Rotary Grinding M/c,NOS.,10,2,10,30
47,47,I040-024-004,A, DC/SANDING WHEEL ULTRA TOUCH A 24 S 4 inch,NOS.,80,5,100,10
48,48,I040-024-007,A,DC/SANDING WHEEL ULTRA TOUCH A 24 S 7 inch,NOS.,10,2,10,10
49,49,I040-000-003,A, DEBURING TOOL - DT-3,NOS.,2,1,2,10
50,50,I040-000-000 ,A,NOZZLE GEL FOR MIG-NU-TECSYS CORP. -300GM,NOS.,1,1,1,10
51,51,I042-000-014 ,A,CUT OFF WHEEL-14 inch,NOS.,5,2,5,10
52,52,I043-004-060,A,POLISH WHEEL 4 inch ALKON GOLD - GRIT 60,NOS.,100,10,10,10
53,53,I044-000-000,A,BANDSAW BLADE (3000 X 27 X 0.9 X 4/6 T),NOS.,2,1,2,10
54,54, I045-006-040,A,ORBITOR SANDER POLISH WHEEL - 6 inch - GRIT - P40,NOS.,30,2,30,10
55,55,I045-006-080,A,ORBITOR SANDER POLISH WHEEL - 6 inch - GRIT - P80,NOS.,10,2,10,10
56,56,I047-000-080,A,POLISH PAPER 80 GRIT,NOS.,70,2,70,10
57,57,I047-000-000,A,POLISH BELT 150X1220 - ZIRKON R809 HH60-NORTON MAKE,NOS.,5,2,2,10
58,58,I070-000-003,A,TAP O FINE 100ML,NOS.,15,3,15,10
59,59,I071-000-005 ,A,CUTTING OIL,LTR,25,5,25,10
