Id,MId,GRRNo,POId,ReceivedQty
32696,9108,0001,42946,6.0
32697,9108,0001,42947,1.0
32698,9108,0001,42948,1.0
32699,9108,0001,42949,1.0
32700,9108,0001,42950,1.0
32701,9108,0001,42951,1.0
32702,9108,0001,42952,1.0
32703,9108,0001,42957,1.0
32704,9108,0001,42958,1.0
32705,9109,0002,43293,1.0
32706,9110,0003,43321,8.0
32707,9111,0004,43308,1.0
32708,9112,0005,43200,1.0
32709,9112,0005,43201,3.0
32710,9113,0006,43177,4.0
32711,9113,0006,43178,4.0
32712,9114,0007,43185,4.0
32713,9114,0007,43186,4.0
32714,9114,0007,43187,1.0
32715,9114,0007,43188,2.0
32716,9114,0007,43189,2.0
32717,9114,0007,43190,2.0
32718,9114,0007,43191,2.0
32719,9114,0007,43192,2.0
32720,9114,0007,43193,4.0
32721,9114,0007,43194,1.0
32722,9114,0007,43195,2.0
32723,9114,0007,43196,2.0
32724,9115,0008,43179,1.0
32725,9115,0008,43180,1.0
32726,9115,0008,43181,1.0
32727,9115,0008,43182,1.0
32728,9115,0008,43183,2.0
32729,9115,0008,43184,1.0
32730,9116,0009,43164,5.0
32731,9116,0009,43165,5.0
32732,9116,0009,43166,30.0
32733,9116,0009,43167,5000.0
32734,9116,0009,43168,500.0
32735,9116,0009,43169,2000.0
32736,9116,0009,43170,500.0
32737,9117,0010,42806,7.0
32738,9118,0011,43240,2.0
32739,9118,0011,43241,2.0
32740,9118,0011,43242,7.0
32741,9118,0011,43243,3.0
32742,9119,0012,43124,7.0
32743,9120,0013,42877,1.0
32744,9121,0014,42301,1.0
32745,9121,0014,42302,1.0
32746,9122,0015,43246,100.0
32747,9122,0015,43247,100.0
32748,9122,0015,43248,100.0
32749,9122,0015,43249,30.0
32750,9122,0015,43251,5.0
32751,9123,0016,43342,20.0
32752,9124,0017,38735,2.0
32753,9124,0017,38736,2.0
32754,9125,0018,38735,1.0
32755,9125,0018,38736,3.0
32756,9126,0019,38735,1.0
32757,9126,0019,38736,4.0
32758,9127,0020,43334,5.0
32759,9127,0020,43335,20.0
32760,9127,0020,43336,25.0
32761,9127,0020,43337,40.0
32763,9129,0022,43338,1.0
32764,9130,0023,43381,10.0
32765,9130,0023,43382,38.0
32766,9130,0023,43383,750.0
32767,9130,0023,43384,300.0
32768,9130,0023,43385,100.0
32769,9130,0023,43386,15.0
32770,9130,0023,43387,40.0
32771,9130,0023,43388,7.0
32772,9130,0023,43389,30.0
32773,9131,0024,43370,100.0
32774,9131,0024,43371,20.0
32775,9131,0024,43372,56.0
32776,9131,0024,43373,65.0
32777,9131,0024,43374,46.0
32778,9131,0024,43375,359.0
32779,9131,0024,43376,50.0
32780,9131,0024,43377,30.0
32781,9131,0024,43378,32.0
32782,9131,0024,43379,13.0
32783,9131,0024,43380,2.0
32784,9132,0025,43355,6.0
32785,9132,0025,43356,21.0
32786,9132,0025,43357,3.0
32787,9132,0025,43358,80.0
32788,9132,0025,43359,20.0
32789,9132,0025,43360,346.0
32790,9132,0025,43361,85.0
32791,9132,0025,43362,10.0
32792,9132,0025,43363,460.0
32793,9133,0026,43346,5.0
32794,9133,0026,43347,699.0
32795,9133,0026,43348,130.0
32796,9133,0026,43349,180.0
32797,9133,0026,43350,149.0
32798,9133,0026,43351,799.0
32799,9133,0026,43352,216.0
32800,9133,0026,43353,180.0
32801,9134,0027,43345,1.0
32802,9135,0028,43344,1.2
32803,9136,0029,43343,58.0
32804,9137,0030,43332,12.0
32805,9137,0030,43333,12.0
32806,9138,0031,43324,6.0
32807,9139,0032,43323,50.0
32808,9140,0033,43339,10.0
32809,9141,0034,43407,2.0
32810,9141,0034,43408,9.0
32811,9142,0035,43202,1.0
32812,9143,0036,43322,8.0
32813,9144,0037,43322,4.0
32814,9145,0038,43322,12.0
32815,9146,0039,43398,27.0
32816,9147,0040,43397,20.0
32817,9148,0041,43396,1.0
32820,9150,0043,43461,10.0
32821,9151,0044,43462,13.0
32822,9151,0044,43463,2.0
32823,9152,0045,43466,10.0
32824,9152,0045,43467,3.0
32825,9153,0046,43038,74.0
32826,9153,0046,43039,37.0
32829,9155,0047,38735,1.0
32830,9155,0047,38736,4.0
32831,9156,0048,43485,4.0
32832,9156,0048,43486,2.0
32833,9156,0048,43487,2.0
32834,9156,0048,43488,5.0
32835,9156,0048,43489,5.0
32836,9156,0048,43490,1.0
32837,9156,0048,43491,4.0
32838,9157,0049,43439,2.0
32839,9157,0049,43440,6.0
32840,9157,0049,43441,2.0
32841,9157,0049,43442,1.0
32842,9158,0050,43409,2.0
32843,9158,0050,43410,2.0
32844,9158,0050,43411,2.0
32845,9158,0050,43412,1.0
32846,9158,0050,43413,8.0
32847,9158,0050,43414,2.0
32848,9158,0050,43415,1.0
32849,9158,0050,43416,2.0
32850,9158,0050,43417,1.0
32851,9158,0050,43418,1.0
32852,9158,0050,43419,2.0
32853,9158,0050,43420,6.0
32854,9158,0050,43421,2.0
32855,9158,0050,43422,2.0
32856,9158,0050,43423,1.0
32857,9158,0050,43424,1.0
32858,9158,0050,43425,1.0
32859,9158,0050,43426,1.0
32860,9158,0050,43427,2.0
32861,9158,0050,43428,2.0
32862,9158,0050,43429,2.0
32863,9158,0050,43430,1.0
32864,9158,0050,43431,1.0
32865,9158,0050,43432,2.0
32866,9158,0050,43433,5.0
32867,9158,0050,43434,1.0
32868,9158,0050,43435,25.0
32869,9158,0050,43436,5.0
32870,9158,0050,43437,1.0
32871,9158,0050,43438,1.0
32872,9159,0051,43443,1.0
32873,9159,0051,43444,1.0
32874,9159,0051,43445,1.0
32875,9159,0051,43446,3.0
32876,9159,0051,43447,4.0
32877,9159,0051,43448,1.0
32878,9159,0051,43449,1.0
32879,9159,0051,43450,1.0
32880,9159,0051,43451,1.0
32881,9159,0051,43452,1.0
32882,9159,0051,43453,3.0
32883,9159,0051,43454,1.0
32884,9159,0051,43455,1.0
32885,9159,0051,43456,1.0
32886,9159,0051,43457,1.0
32887,9159,0051,43458,1.0
32888,9159,0051,43459,1.0
32889,9159,0051,43460,1.0
32890,9160,0052,43470,7.0
32891,9160,0052,43471,1.0
32892,9160,0052,43472,1.0
32893,9160,0052,43473,1.0
32894,9160,0052,43474,1.0
32895,9160,0052,43475,1.0
32896,9160,0052,43476,1.0
32897,9160,0052,43477,8.0
32898,9160,0052,43478,2.0
32899,9160,0052,43479,8.0
32900,9160,0052,43480,2.0
32901,9160,0052,43481,2.0
32902,9160,0052,43482,2.0
32903,9160,0052,43483,4.0
32904,9160,0052,43484,4.0
32905,9161,0053,43354,8.0
32906,9162,0054,43364,8.0
32907,9162,0054,43365,2.0
32908,9163,0055,43390,2.0
32909,9163,0055,43391,6.0
32910,9163,0055,43392,2.0
32911,9163,0055,43393,1.0
32912,9163,0055,43394,1.0
32913,9163,0055,43395,1.0
32914,9164,0056,43366,4.0
32915,9164,0056,43367,2.0
32916,9164,0056,43368,2.0
32917,9164,0056,43369,2.0
32918,9165,0057,43539,4.0
32919,9165,0057,43540,2.0
32920,9165,0057,43541,4.0
32921,9165,0057,43542,60.0
32922,9165,0057,43543,2.0
32923,9165,0057,43544,5.0
32924,9165,0057,43545,6.0
32925,9165,0057,43546,6.0
32926,9165,0057,43547,6.0
32927,9165,0057,43548,12.0
32928,9165,0057,43549,30.0
32929,9165,0057,43550,12.0
32930,9165,0057,43551,1.0
32931,9166,0058,43569,1.0
32932,9166,0058,43570,1.0
32933,9166,0058,43571,1.0
32934,9166,0058,43572,1.0
32935,9166,0058,43573,1.0
32936,9167,0059,43622,4.0
32937,9167,0059,43623,4.0
32938,9167,0059,43624,2.0
32939,9167,0059,43625,4.0
32940,9167,0059,43626,2.0
32941,9167,0059,43627,1.0
32942,9167,0059,43628,2.0
32943,9167,0059,43629,2.0
32944,9167,0059,43630,2.0
32945,9167,0059,43631,1.0
32946,9167,0059,43632,1.0
32947,9168,0060,41850,1.0
32948,9168,0060,41851,1.0
32949,9168,0060,41852,1.0
32950,9168,0060,41853,2.0
32951,9168,0060,41854,3.0
32952,9168,0060,41855,8.0
32953,9168,0060,41856,18.0
32954,9168,0060,41857,6.0
32955,9168,0060,41858,3.0
32956,9168,0060,41859,27.0
32957,9168,0060,41860,16.0
32958,9168,0060,41861,16.0
32959,9168,0060,41862,2.0
32960,9168,0060,41863,16.0
32961,9168,0060,41864,8.0
32962,9168,0060,41866,50.0
32963,9169,0061,43492,500.0
32964,9169,0061,43493,500.0
32965,9170,0062,43537,1335.29
32966,9170,0062,43538,1884.71
32967,9171,0063,43581,1.0
32968,9171,0063,43582,1.0
32969,9171,0063,43583,1.0
32970,9171,0063,43584,1.0
32971,9171,0063,43585,1.0
32972,9171,0063,43586,1.0
32973,9171,0063,43587,1.0
32974,9171,0063,43588,2.0
32975,9171,0063,43589,2.0
32976,9171,0063,43590,1.0
32977,9171,0063,43591,3.0
32978,9171,0063,43592,1.0
32979,9171,0063,43593,1.0
32980,9171,0063,43594,1.0
32981,9171,0063,43595,2.0
32982,9171,0063,43596,5.0
