Id,MId,GSNNo,POId,ReceivedQty
3977,2200,0001,43340,1.0
3978,2201,0002,43341,1.0
3979,2202,0003,43464,56.5
3980,2202,0003,43465,6.0
3981,2203,0004,43468,1.0
3982,2204,0005,43518,1.0
3983,2204,0005,43519,1.0
3984,2205,0006,43950,1.0
3985,2206,0007,43782,12.0
3986,2207,0008,43984,6.0
3987,2208,0009,43983,291.0
3988,2209,0010,43982,228.0
3989,2210,0011,43981,4063.0
3990,2211,0012,43984,28.0
3991,2212,0013,43983,113.0
3992,2213,0014,43982,408.0
3993,2214,0015,43981,3622.0
3994,2215,0016,43984,43.0
3995,2216,0017,43983,101.0
3996,2217,0018,43982,194.0
3997,2218,0019,43981,2931.0
4000,2221,0022,43986,40.0
4001,2222,0023,43985,861.0
4002,2223,0024,43988,3.0
4003,2224,0025,43987,100.0
4004,2225,0026,43986,36.0
4005,2226,0027,43988,8.0
4006,2227,0028,43987,254.0
4007,2228,0029,43986,42.0
4008,2229,0030,43985,2537.0
4009,2230,0031,43988,24.0
4010,2231,0032,43987,183.0
4011,2232,0033,43986,111.0
4020,2241,0042,43988,8.0
4021,2242,0043,43985,1068.0
4022,2243,0044,43987,372.0
4023,2244,0045,44173,2.0
4024,2245,0046,44146,3.0
4025,2245,0046,44147,1.0
4026,2245,0046,44148,1.0
4027,2245,0046,44149,1.0
4028,2245,0046,44150,1.0
4029,2245,0046,44151,5.0
4030,2245,0046,44152,2.0
4031,2245,0046,44153,1.0
4032,2245,0046,44154,2.0
4033,2245,0046,44155,2.0
4034,2246,0047,44156,77.0
4035,2247,0048,44313,1.0
4036,2248,0049,44272,1.0
4037,2249,0050,44274,1.0
4038,2250,0051,44326,3.0
4039,2251,0052,44277,228.0
4040,2252,0053,44278,38.0
4041,2253,0054,44275,3185.0
4042,2254,0055,44276,160.0
4043,2255,0056,44321,1.0
4044,2256,0057,44363,97.3
4045,2257,0058,44366,5.0
4046,2258,0059,43985,1395.0
4047,2259,0060,44316,1.0
4048,2260,0061,44271,1.0
4049,2261,0062,44428,1405.0
4050,2262,0063,44568,5.0
4051,2263,0064,44546,2.0
4052,2263,0064,44547,4.0
4053,2263,0064,44548,1.0
4054,2263,0064,44549,2.0
4055,2263,0064,44550,1.0
4056,2264,0065,44545,6.0
4057,2265,0066,44542,1.0
4058,2266,0067,44541,1.0
4059,2267,0068,44909,1.0
4060,2268,0069,44908,3.0
4061,2269,0070,44906,1.0
4062,2270,0071,44907,1.0
4063,2271,0072,44898,1.0
4064,2272,0073,44923,30.0
4065,2272,0073,44924,11.0
4066,2273,0074,45162,1.0
4067,2273,0074,45163,1.0
4068,2273,0074,45164,1.0
4069,2274,0075,45197,1.0
4070,2275,0076,45157,1.0
4071,2276,0077,45175,1.0
4072,2277,0078,44879,108.0
4073,2278,0079,44922,48.0
4074,2279,0080,45337,41.0
4075,2280,0081,45328,1.0
4076,2280,0081,45329,1.0
4077,2280,0081,45330,1.0
4078,2280,0081,45331,1.0
4079,2280,0081,45332,1.0
4080,2280,0081,45333,1.0
4081,2280,0081,45334,1.0
4082,2280,0081,45335,2.0
4083,2281,0082,45336,39.5
4084,2282,0083,44231,2.0
4085,2282,0083,44232,4.0
4086,2282,0083,44233,4.0
4087,2282,0083,44234,1.0
4088,2282,0083,44235,2.0
4089,2282,0083,44236,1.0
4090,2282,0083,44237,2.0
4091,2283,0084,45531,9.0
4092,2283,0084,45532,1.0
4093,2284,0085,45634,53.0
4094,2285,0086,45599,1.0
4095,2286,0087,45597,3.0
4096,2287,0088,45598,4.0
4097,2288,0089,45600,2.0
4098,2288,0089,45601,1.0
4099,2289,0090,45614,2.0
4100,2289,0090,45615,2.0
4101,2290,0091,45605,1.0
4102,2290,0091,45606,2.0
4103,2290,0091,45607,1.0
4104,2290,0091,45608,2.0
4105,2290,0091,45609,2.0
4106,2290,0091,45610,1.0
4107,2290,0091,45611,8.0
4108,2290,0091,45612,2.0
4109,2290,0091,45613,1.0
4110,2291,0092,45721,200.0
4111,2292,0093,45763,1.0
4112,2293,0094,45533,20.0
4113,2293,0094,45534,20.0
4114,2293,0094,45535,2.0
4115,2293,0094,45536,2.0
4116,2294,0095,45754,1.0
4117,2295,0096,45755,4.0
4118,2295,0096,45756,1.0
4119,2296,0097,45705,1.0
4120,2297,0098,45706,1.0
4121,2298,0099,45702,1.0
4122,2299,0100,45839,1.0
4123,2300,0101,45882,2.0
4124,2301,0102,45824,2.0
4125,2302,0103,45619,1.0
4126,2302,0103,45620,1.0
4127,2303,0104,45616,2.0
4128,2303,0104,45617,2.0
4129,2303,0104,45618,2.0
4130,2304,0105,45823,101.0
4131,2305,0106,45822,44.0
4132,2306,0107,45708,1.0
4133,2307,0108,45969,720.0
4134,2308,0109,46087,3.0
4135,2309,0110,46082,95.0
4136,2310,0111,45967,1.0
4137,2310,0111,45968,1.0
4138,2311,0112,45964,1.0
4139,2311,0112,45965,1.0
4140,2311,0112,45966,1.0
4141,2312,0113,45970,350.0
4142,2313,0114,45971,30.0
4143,2314,0115,45961,2.0
4144,2314,0115,45962,1.0
4145,2314,0115,45963,1.0
4146,2315,0116,46083,40.0
4147,2316,0117,46395,12.0
4148,2317,0118,46391,2.0
4149,2317,0118,46394,2.0
4150,2318,0119,46392,1.0
4151,2318,0119,46393,2.0
4152,2318,0119,46396,6.0
4153,2319,0120,46431,36.06
4154,2320,0121,46418,183.0
4155,2321,0122,46422,8.0
4156,2321,0122,46423,12.0
4157,2322,0123,46424,6.0
4158,2323,0124,46398,4.0
4159,2324,0125,46419,6.0
4160,2324,0125,46420,6.0
4161,2325,0126,46397,60.0
4162,2326,0127,46397,140.0
4163,2327,0128,46443,105.0
4164,2328,0129,46397,80.0
4165,2329,0130,46487,12.0
4166,2330,0131,46484,2.0
4167,2330,0131,46485,2.0
4168,2331,0132,46489,312.0
4169,2332,0133,46397,125.0
4170,2333,0134,46397,150.0
4171,2334,0135,46581,31.0
4172,2335,0136,46557,173.0
4173,2336,0137,46267,1.0
4174,2337,0138,44275,3010.0
4175,2337,0138,44276,175.0
4176,2337,0138,44277,355.0
4177,2337,0138,44278,30.0
4178,2338,0139,46717,1.0
4179,2339,0140,46721,1.0
4180,2340,0141,46681,1.0
4181,2341,0142,46770,1.0
4182,2342,0143,46632,1.0
4183,2343,0144,46634,1.0
4184,2344,0145,46633,1.0
4185,2345,0146,46680,1.0
4186,2346,0147,46628,4.0
4187,2347,0148,46718,1.0
4188,2348,0149,46720,1.0
4189,2349,0150,46719,1.0
4190,2350,0151,44275,1018.0
4191,2350,0151,44276,60.0
4192,2350,0151,44277,126.0
4193,2350,0151,44278,40.0
4194,2351,0152,46706,4.0
4195,2351,0152,46708,1.0
4196,2351,0152,46715,3.0
4197,2352,0153,46696,3.0
4198,2353,0154,38897,3.0
4199,2354,0155,24938,2.0
4200,2355,0156,46679,1.0
4201,2356,0157,46944,2.0
4202,2357,0158,46945,2.0
4203,2358,0159,46809,1.0
4204,2359,0160,46810,1.0
4205,2360,0161,46813,1.0
4206,2361,0162,46814,1.0
4207,2362,0163,46812,1.0
4208,2363,0164,44275,1457.0
4209,2363,0164,44276,190.0
4210,2363,0164,44277,435.0
4211,2363,0164,44278,37.0
4212,2364,0165,44275,2435.0
4213,2364,0165,44276,72.0
4214,2364,0165,44277,295.0
4215,2364,0165,44278,6.0
4216,2365,0166,46815,3.0
4217,2366,0167,47406,1.0
4218,2367,0168,47403,1.0
4219,2368,0169,47404,1.0
4220,2369,0170,47400,1.0
4221,2370,0171,47405,1.0
4222,2371,0172,47410,2.0
4223,2371,0172,47411,1.0
4224,2371,0172,47412,1.0
4225,2372,0173,47413,2.0
4226,2372,0173,47414,2.0
4227,2373,0174,46780,2.0
4228,2374,0175,46784,2.0
4229,2374,0175,46785,1.0
4230,2374,0175,46786,1.0
4231,2375,0176,46781,2.0
4232,2375,0176,46782,1.0
4233,2375,0176,46783,1.0
4234,2376,0177,47401,1.0
4235,2377,0178,49291,2.0
4236,2377,0178,49292,2.0
4237,2378,0179,49317,1.0
4238,2379,0180,49309,1.0
4239,2380,0181,49308,1.0
4240,2381,0182,49316,2.0
4241,2382,0183,47934,1.0
4242,2383,0184,47502,1.0
4243,2383,0184,47503,1.0
4244,2384,0185,49653,1.0
4245,2384,0185,49654,1.0
4246,2385,0186,49652,1.0
4247,2386,0187,49646,2.0
4248,2386,0187,49647,1.0
4249,2387,0188,49643,1.0
4250,2388,0189,49996,15.0
4251,2388,0189,49997,2.0
4252,2389,0190,49998,1.0
4253,2390,0191,49999,1.0
4254,2391,0192,49882,1.0
4255,2392,0193,49885,4.0
4256,2393,0194,49883,1.0
4257,2394,0195,49884,1.0
4258,2395,0196,50092,2.0
4259,2395,0196,50093,2.0
4260,2395,0196,50094,2.0
4261,2395,0196,50095,2.0
4262,2395,0196,50096,3.0
4263,2395,0196,50097,4.0
4264,2395,0196,50098,8.0
4265,2396,0197,49247,4.0
4266,2396,0197,49248,24.0
4267,2396,0197,49249,1.0
4268,2397,0198,50086,8.0
4269,2398,0199,50245,20.0
4270,2399,0200,50608,2.0
4271,2400,0201,50099,8.0
4272,2400,0201,50101,5.0
4273,2401,0202,50555,44.0
4274,2401,0202,50556,2.0
4275,2401,0202,50557,4.0
4276,2401,0202,50558,2.0
4277,2401,0202,50559,2.0
4278,2401,0202,50560,1.0
4279,2401,0202,50561,4.0
4280,2401,0202,50562,2.0
4281,2401,0202,50563,1.0
4282,2401,0202,50564,4.0
4283,2401,0202,50565,2.0
4284,2401,0202,50566,4.0
4285,2402,0203,50543,2.0
4286,2402,0203,50544,4.0
4287,2402,0203,50545,2.0
4288,2402,0203,50546,2.0
4289,2402,0203,50547,2.0
4290,2402,0203,50548,8.0
4291,2402,0203,50549,4.0
4292,2402,0203,50550,2.0
4293,2402,0203,50551,4.0
4294,2402,0203,50552,4.0
4295,2402,0203,50553,8.0
4296,2402,0203,50554,2.0
4297,2403,0204,50531,2.0
4298,2403,0204,50532,2.0
4299,2403,0204,50533,2.0
4300,2403,0204,50534,8.0
4301,2403,0204,50535,4.0
4302,2403,0204,50536,4.0
4303,2403,0204,50537,8.0
4304,2403,0204,50538,2.0
4305,2403,0204,50539,1.0
4306,2403,0204,50540,2.0
4307,2403,0204,50541,2.0
4308,2403,0204,50542,4.0
4309,2404,0205,50450,4.0
4310,2404,0205,50451,1.0
4311,2404,0205,50452,1.0
4312,2404,0205,50453,1.0
4313,2404,0205,50454,1.0
4314,2404,0205,50455,2.0
4315,2404,0205,50456,2.0
4316,2404,0205,50457,2.0
4317,2405,0206,50438,8.0
4318,2405,0206,50439,8.0
4319,2405,0206,50440,2.0
4320,2405,0206,50441,1.0
4321,2405,0206,50442,2.0
4322,2406,0207,50363,39.0
4323,2407,0208,50417,1.0
4324,2408,0209,50418,1.0
4325,2409,0210,50428,1.0
4326,2410,0211,50577,16.0
4327,2410,0211,50578,4.0
4328,2410,0211,50579,4.0
4329,2410,0211,50580,4.0
4330,2411,0212,50572,2.0
4331,2411,0212,50573,1.0
4332,2411,0212,50574,1.0
4333,2411,0212,50575,2.0
4334,2412,0213,50846,2.0
4335,2413,0214,50833,2.0
4336,2414,0215,50756,5.0
4337,2414,0215,50757,6.0
4338,2414,0215,50758,2.0
4339,2415,0216,50831,12.0
4340,2415,0216,50832,12.0
4341,2416,0001,50762,1.0
4342,2416,0001,50763,5.0
4343,2416,0001,50764,5.0
4344,2416,0001,50765,6.0
4345,2416,0001,50766,8.0
4346,2416,0001,50767,6.0
4347,2416,0001,50768,6.0
4348,2417,0002,50845,1.0
4349,2418,0003,50834,2.0
4350,2418,0003,50835,2.0
4351,2418,0003,50836,2.0
4352,2418,0003,50837,4.0
4353,2418,0003,50838,2.0
4354,2418,0003,50839,2.0
4355,2418,0003,50840,2.0
4356,2418,0003,50841,6.0
4357,2418,0003,50842,1.0
4358,2418,0003,50843,4.0
4359,2419,0004,50827,4.0
4360,2419,0004,50828,4.0
4361,2419,0004,50829,2.0
4362,2419,0004,50830,2.0
4363,2420,0005,50769,2.0
4364,2420,0005,50770,2.0
4365,2420,0005,50773,4.0
4366,2420,0005,50774,4.0
4367,2420,0005,50775,4.0
4368,2420,0005,50776,8.0
4369,2420,0005,50777,20.0
4370,2420,0005,50778,20.0
4371,2421,0006,50443,8.0
4372,2421,0006,50444,1.0
4373,2421,0006,50445,1.0
4374,2421,0006,50446,2.0
4375,2421,0006,50447,2.0
4376,2421,0006,50448,4.0
4377,2421,0006,50449,1.0
4378,2422,0007,50431,8.0
4379,2422,0007,50432,28.0
4380,2423,0008,50790,8.0
4381,2424,0009,50640,1.0
4382,2425,0010,50411,22.0
4383,2425,0010,50412,22.0
4384,2425,0010,50413,12.0
4385,2426,0011,50409,18.0
4386,2427,0012,50264,20.0
4387,2428,0013,50791,28.0
4388,2429,0014,50930,1.0
4389,2430,0015,50931,1.0
4390,2431,0016,50935,1.0
4391,2432,0017,50433,2.0
4392,2432,0017,50434,4.0
4393,2432,0017,50435,24.0
4394,2432,0017,50436,13.0
4395,2432,0017,50437,2.0
4396,2432,0017,50458,2.0
4397,2433,0018,50824,2.0
4398,2434,0019,50571,2.0
4399,2435,0020,51205,1.0
4400,2436,0021,51310,220.0
4401,2437,0022,50979,3.0
4402,2438,0023,50850,5.0
4403,2438,0023,50851,8.0
4404,2439,0024,50003,1.0
4405,2440,0025,50844,22.0
4406,2441,0026,50462,1.0
4407,2442,0027,50188,4.0
4408,2443,0028,50978,1.0
4409,2444,0029,50887,1.0
4410,2445,0030,50888,1.0
4411,2446,0031,50889,1.0
4412,2447,0032,50890,1.0
4413,2448,0033,50891,1.0
4414,2449,0034,50892,1.0
4415,2450,0035,50893,1.0
4416,2451,0036,50894,1.0
4417,2452,0037,50927,1.0
4418,2453,0038,50924,1.0
4419,2454,0039,50928,2.0
4420,2455,0040,50925,1.0
4421,2456,0041,50926,1.0
4422,2457,0042,50567,4.0
4423,2457,0042,50568,8.0
4424,2457,0042,50569,2.0
4425,2457,0042,50570,1.0
4426,2458,0043,50110,24.0
4427,2459,0044,50854,1.0
4428,2459,0044,50855,1.0
4429,2459,0044,50856,2.0
4430,2459,0044,50857,1.0
4431,2459,0044,50858,1.0
4432,2459,0044,50859,2.0
4433,2459,0044,50860,2.0
4434,2459,0044,50861,1.0
4435,2460,0045,50849,20.0
4436,2461,0046,51554,1.0
4437,2462,0047,51566,2.0
4438,2463,0048,51569,2.0
4439,2464,0049,51565,1.0
4440,2465,0050,51540,160.0
4441,2466,0051,51312,40.0
4442,2467,0052,50122,12.0
4443,2468,0053,51495,2.0
4444,2469,0054,51495,74.0
4445,2470,0055,51507,1.0
4446,2471,0056,46493,80.0
4447,2472,0057,51576,1.0
4448,2473,0058,51344,19.0
4449,2473,0058,51348,19.0
4450,2474,0059,51309,70.0
4451,2474,0059,51311,56.0
4452,2474,0059,51313,16.0
4453,2475,0060,51364,19.0
4454,2475,0060,51365,19.0
4455,2476,0061,51346,19.0
4456,2476,0061,51347,19.0
4457,2477,0062,51345,19.0
4458,2477,0062,51349,19.0
4459,2478,0063,51255,19.0
4460,2479,0064,51422,2.0
4461,2480,0065,50174,14.0
4462,2481,0066,51704,1053.6
4463,2482,0067,51366,4.0
4464,2482,0067,51367,4.0
4465,2483,0068,51720,16.0
4466,2484,0069,51719,8.0
4467,2485,0070,51645,1.0
4468,2486,0071,51643,370.0
4469,2487,0072,51644,40.0
4470,2488,0073,51309,30.0
4471,2489,0074,51745,4995.0
4472,2490,0075,51714,12.0
4473,2491,0076,51692,1.0
4474,2491,0076,51693,1.0
4475,2491,0076,51694,3.0
4476,2491,0076,51695,4.0
4477,2492,0077,51343,20.0
4478,2493,0078,51808,14460.0
4479,2494,0079,51806,2090.0
4480,2495,0080,51742,2.0
4481,2496,0081,51807,1920.0
4482,2497,0082,51373,19.0
4483,2497,0082,51375,19.0
4484,2498,0083,51671,16.0
4485,2499,0084,51792,1.0
4486,2500,0085,51769,1.0
4487,2501,0086,51751,2.0
4488,2502,0087,51831,1.0
4489,2503,0088,51939,4.0
4490,2504,0089,51893,1.0
4491,2505,0090,51920,2.0
4492,2505,0090,51921,1.0
4493,2505,0090,51922,1.0
4494,2505,0090,51923,2.0
4495,2505,0090,51924,2.0
4496,2505,0090,51925,1.0
4497,2505,0090,51926,1.0
4498,2505,0090,51927,2.0
4499,2505,0090,51928,1.0
4500,2505,0090,51929,1.0
4501,2505,0090,51930,1.0
4502,2505,0090,51931,2.0
4503,2505,0090,51932,1.0
4504,2506,0091,51891,8.0
4505,2506,0091,51892,2.0
4506,2506,0091,51894,1.0
4507,2507,0092,51940,1.0
4508,2507,0092,51941,1.0
4509,2507,0092,51942,6.0
4510,2507,0092,51943,8.0
4511,2508,0093,51882,4.0
4512,2508,0093,51883,2.0
4513,2508,0093,51884,2.0
4514,2508,0093,51885,2.0
4515,2508,0093,51886,2.0
4516,2508,0093,51887,2.0
4517,2508,0093,51888,4.0
4518,2508,0093,51889,20.0
4519,2508,0093,51890,6.0
4520,2509,0094,51814,20.0
4521,2509,0094,51815,20.0
4522,2509,0094,51816,20.0
4523,2509,0094,51817,20.0
4524,2509,0094,51818,20.0
4525,2510,0095,51243,19.0
4526,2511,0096,51677,40.0
4527,2511,0096,51678,80.0
4528,2512,0097,51670,6.0
4529,2513,0098,52073,1600.0
4530,2514,0099,52076,18.0
4531,2515,0100,52118,720.1
4532,2516,0101,52069,20.0
4533,2516,0101,52070,20.0
4534,2517,0102,52037,251.0
4535,2518,0103,52134,1.0
4536,2519,0104,51679,4.0
4537,2519,0104,51680,8.0
4538,2519,0104,51681,1.0
4539,2519,0104,51682,1.0
4540,2520,0105,52132,4.0
4541,2521,0106,52132,8.0
4542,2522,0107,52242,1.0
4543,2523,0108,52188,60.0
4544,2524,0109,52574,1490.0
4545,2525,0110,52573,733.0
4546,2526,0111,52572,1566.0
4547,2527,0112,52286,840.0
4548,2528,0113,52575,6.0
4549,2528,0113,52576,38.0
4550,2529,0114,52384,1.0
4551,2530,0115,52071,100.0
4552,2531,0116,52150,80.0
4553,2531,0116,52151,18.0
4554,2531,0116,52152,24.0
4555,2531,0116,52153,1.0
4556,2532,0117,52147,1.0
4557,2532,0117,52148,5.0
4558,2532,0117,52149,2.0
4559,2533,0118,52157,229.0
4560,2533,0118,52158,229.0
4561,2534,0119,51778,45.0
4562,2535,0120,52135,20.0
4563,2536,0121,52275,2.0
4564,2536,0121,52276,2.0
4565,2537,0122,52560,19.0
4566,2538,0123,52270,4.0
4567,2538,0123,52271,4.0
4568,2538,0123,52272,8.0
4569,2539,0124,52155,4.0
4570,2540,0125,52628,6.0
4571,2541,0126,52627,509.3
4572,2542,0127,53194,1.0
4573,2543,0128,53195,24.0
4574,2544,0129,53193,5.0
4575,2545,0130,53168,66.0
4576,2546,0131,52996,4.0
4577,2546,0131,52997,4.0
4578,2547,0132,53145,4.0
4579,2548,0133,52906,530.0
4580,2548,0133,52907,310.0
4581,2549,0134,52903,200.0
4582,2549,0134,52904,210.0
4583,2549,0134,52905,1520.0
4584,2550,0135,52898,1.0
4585,2550,0135,52899,1.0
4586,2551,0136,52901,2.0
4587,2552,0137,52940,3.0
4588,2553,0138,52990,500.0
4589,2554,0139,53205,8.0
4590,2555,0140,52995,1446.0
4591,2556,0141,51390,5.0
4592,2557,0142,53345,2.0
4593,2557,0142,53346,2.0
4594,2558,0143,52998,28.0
4595,2559,0144,50330,10.0
4596,2560,0145,52067,4.0
4597,2561,0146,52060,1.0
4598,2561,0146,52061,10.0
4599,2561,0146,52062,4.0
4600,2562,0147,52274,1.0
4601,2563,0148,52299,8.0
4602,2563,0148,52300,4.0
4603,2563,0148,52301,4.0
4604,2564,0149,52291,2.0
4605,2564,0149,52292,2.0
4606,2564,0149,52293,2.0
4607,2564,0149,52294,2.0
4608,2564,0149,52295,2.0
4609,2564,0149,52296,2.0
4610,2564,0149,52297,2.0
4611,2565,0150,52289,2.0
4612,2565,0150,52290,2.0
4613,2566,0151,52342,4.0
4614,2566,0151,52343,4.0
4615,2566,0151,52344,6.0
4616,2567,0152,52283,2.0
4617,2568,0153,52337,6.0
4618,2569,0154,52330,16.0
4619,2569,0154,52331,1.0
4620,2570,0155,52385,1.0
4621,2570,0155,52387,55.0
4622,2570,0155,52388,209.0
4623,2571,0156,52355,4.0
4624,2571,0156,52356,2.0
4625,2571,0156,52357,2.0
4626,2571,0156,52358,1.0
4627,2571,0156,52359,3.0
4628,2571,0156,52360,1.0
4629,2571,0156,52361,2.0
4630,2571,0156,52363,99.0
4631,2571,0156,52364,20.0
4632,2572,0157,52365,4.0
4633,2572,0157,52366,8.0
4634,2572,0157,52367,18.0
4635,2572,0157,52368,20.0
4636,2572,0157,52369,1.0
4637,2572,0157,52370,1.0
4638,2572,0157,52371,1.0
4639,2572,0157,52372,1.0
4640,2572,0157,52373,1.0
4641,2572,0157,52374,1.0
4642,2572,0157,52375,1.0
4643,2572,0157,52376,2.0
4644,2573,0158,53008,2.0
4645,2574,0159,53009,1.0
4646,2574,0159,53010,1.0
4647,2574,0159,53011,2.0
4648,2575,0160,53344,600.0
4649,2576,0161,53464,2.0
4650,2577,0162,53952,1.0
4651,2578,0163,53738,1.0
4652,2579,0164,53739,1.0
4653,2580,0165,53740,1.0
4654,2580,0165,53741,1.0
4655,2580,0165,53742,1.0
4656,2580,0165,53743,1.0
4657,2580,0165,53744,1.0
4658,2580,0165,53745,1.0
4659,2580,0165,53746,1.0
4660,2581,0166,51793,1.0
4661,2582,0167,53747,3.0
4662,2583,0168,54409,80.0
4663,2584,0169,54200,50.0
4664,2585,0170,54749,1.0
4665,2586,0171,53686,1.0
4666,2587,0172,54213,2.0
4667,2588,0173,54241,3.0
4668,2588,0173,54242,6.0
4669,2589,0174,54373,10.0
4670,2590,0175,53521,3.0
4671,2591,0176,44275,1128.0
4672,2591,0176,44276,87.0
4673,2591,0176,44277,169.0
4674,2591,0176,44278,15.0
4675,2592,0177,44275,2346.0
4676,2592,0177,44276,103.0
4677,2592,0177,44277,914.0
4678,2592,0177,44278,23.0
4679,2593,0178,44275,2294.0
4680,2593,0178,44276,387.0
4681,2593,0178,44277,693.0
4682,2593,0178,44278,67.0
4683,2594,0179,44275,5041.0
4684,2594,0179,44276,166.0
4685,2594,0179,44277,585.0
4686,2594,0179,44278,34.0
4687,2595,0180,44275,3635.0
4688,2595,0180,44276,235.0
4689,2595,0180,44277,643.0
4690,2595,0180,44278,53.0
4691,2596,0181,44275,5172.0
4692,2596,0181,44276,472.0
4693,2596,0181,44277,797.0
4694,2596,0181,44278,78.0
4695,2597,0182,44275,5074.0
4696,2597,0182,44276,328.0
4697,2597,0182,44277,1072.0
4698,2597,0182,44278,59.0
4699,2598,0183,44275,2521.0
4700,2598,0183,44276,185.0
4701,2598,0183,44277,317.0
4702,2598,0183,44278,26.0
4703,2599,0184,44275,942.0
4704,2599,0184,44276,53.0
4705,2599,0184,44277,356.0
4706,2599,0184,44278,25.0
4707,2600,0185,44275,1702.0
4708,2600,0185,44276,63.0
4709,2600,0185,44277,197.0
4710,2600,0185,44278,9.0
4711,2601,0186,44275,1966.0
4712,2601,0186,44276,132.0
4713,2601,0186,44277,376.0
4714,2601,0186,44278,57.0
